datetime,open,high,low,close
2024-12-22 13:45:00,97104.79,97129.86,96991.18,97000.01
2024-12-22 13:30:00,97157.38,97190.01,97050,97104.94
2024-12-22 13:15:00,96998.77,97191.52,96906.68,97161.45
2024-12-22 13:00:00,96916.96,97027.69,96769.94,96999.7
2024-12-22 12:45:00,97083.38,97108.63,96912.56,96916.95
2024-12-22 12:30:00,97050.76,97231.45,97039.28,97083.38
2024-12-22 12:15:00,96868.45,97059.59,96833.81,97050.76
2024-12-22 12:00:00,97034.91,97137.74,96759.78,96863.77
2024-12-22 11:45:00,97224.65,97224.66,97001.51,97030.61
2024-12-22 11:30:00,97188.25,97277.75,97072.46,97224.66
2024-12-22 11:15:00,97129.19,97251.99,96975.54,97188.25
2024-12-22 11:00:00,96923.73,97131.39,96890.95,97129.18
2024-12-22 10:45:00,97112.78,97150.66,96922.15,96922.15
2024-12-22 10:30:00,97072.73,97280.55,97001.08,97112.78
2024-12-22 10:15:00,96888.31,97113.73,96888.31,97069.76
2024-12-22 10:00:00,96870.49,97054.46,96777.12,96888.39
2024-12-22 09:45:00,97095.69,97169.3,96862.06,96870.5
2024-12-22 09:30:00,96632.55,97109.25,96580.09,97084.87
2024-12-22 09:15:00,96362.29,96729.59,96334.22,96629.91
2024-12-22 09:00:00,96461.24,96525.94,96254.1,96359.04
2024-12-22 08:45:00,96419.48,96558.12,96374.22,96457.43
2024-12-22 08:30:00,96489.14,96609.93,96337.94,96419.48
2024-12-22 08:15:00,96360.88,96618.38,96252.26,96488.79
2024-12-22 08:00:00,96146.09,96438.58,96127.18,96356.63
2024-12-22 07:45:00,96146.8,96247.61,96010.2,96136.32
2024-12-22 07:30:00,96477.49,96513.13,96026.41,96146.79
2024-12-22 07:15:00,96660,96665.12,96420.7,96477.5
2024-12-22 07:00:00,96682.15,96788.34,96600,96660
2024-12-22 06:45:00,96549.15,96682.23,96549.15,96675.79
2024-12-22 06:30:00,96491.41,96575.59,96407.81,96549.15
2024-12-22 06:15:00,96256.53,96548.08,96176.65,96491.41
2024-12-22 06:00:00,96088.22,96320,96050,96265.28
2024-12-22 05:45:00,96130.88,96299.41,96000,96088.22
2024-12-22 05:30:00,96215.47,96353.95,96087.29,96130.84
2024-12-22 05:15:00,95899.55,96268.82,95855.97,96216.28
2024-12-22 05:00:00,96017.69,96189.13,95825.6,95899.55
2024-12-22 04:45:00,96321.44,96385.94,96000,96012.28
2024-12-22 04:30:00,96819.35,96843.86,96295.82,96321.44
2024-12-22 04:15:00,96897.87,96919.16,96707.57,96819.36
2024-12-22 04:00:00,96927.94,97020.9,96837.42,96900.01
2024-12-22 03:45:00,96913.04,96960,96748.34,96933.29
2024-12-22 03:30:00,97085.26,97173.07,96892.44,96902.81
2024-12-22 03:15:00,96595.67,97244.35,96534.86,97089.45
2024-12-22 03:00:00,96669.75,96716.25,96500,96606.2
2024-12-22 02:45:00,96662.48,96776.04,96546.61,96668.05
2024-12-22 02:30:00,96922.85,96957.3,96655.74,96664.95
2024-12-22 02:15:00,97071.72,97188.18,96712.37,96928.88
2024-12-22 02:00:00,96989.98,97085.62,96790,97071.73
2024-12-22 01:45:00,96792.61,97111.46,96666.97,96989.98
2024-12-22 01:30:00,97250.29,97250.29,96657.18,96799.71
2024-12-22 01:15:00,97280.11,97376.79,97132.39,97250.29
2024-12-22 01:00:00,97181.78,97375.56,97065.33,97279.54
2024-12-22 00:45:00,97269.85,97299.02,97022.49,97181.79
2024-12-22 00:30:00,97147.24,97387.98,97043.31,97281.12
2024-12-22 00:15:00,97124.16,97192.97,96986.23,97149.83
2024-12-22 00:00:00,97230.09,97322.38,96984.94,97115.61
2024-12-21 23:45:00,97020.76,97261.89,96980,97230.08
2024-12-21 23:30:00,97090.85,97135.12,96892.15,97023.71
2024-12-21 23:15:00,97069.18,97141.41,96952.99,97090.84
2024-12-21 23:00:00,97084.3,97159.93,96836.29,97072.21
2024-12-21 22:45:00,97329.43,97329.44,96996.34,97084.3
2024-12-21 22:30:00,97143.36,97332.08,96886.77,97329.44
2024-12-21 22:15:00,96627.03,97164.71,96544.5,97143.37
2024-12-21 22:00:00,96844.82,96961.39,96571.3,96627.03
2024-12-21 21:45:00,96925.02,96991.62,96504.51,96844.82
